Exercise,Difficulty Level,Target Muscle Group,Primary Equipment,Body Region,Primary Exercise Classification,Video Url
Slider Landmine Low Hold Lateral Lunge,Novice,Adductors,Sliders,Lower Body,Bodybuilding,
Slider Single Arm Kettlebell Front Rack Contralateral Lateral Lunge,Novice,Adductors,Sliders,Lower Body,Bodybuilding,
Slider Single Arm Kettlebell Front Rack Ipsilateral Lateral Lunge,Novice,Adductors,Sliders,Lower Body,Bodybuilding,https://youtu.be/q56KJzFPbz4?si=QBb7bgZdSeYK7Q0i
Slider Single Arm Kettlebell Bottoms Up Front Rack Contralateral Lateral Lunge,Intermediate,Adductors,Sliders,Lower Body,Bodybuilding,
Slider Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Lateral Lunge,Intermediate,Adductors,Sliders,Lower Body,Bodybuilding,
Slider Single Arm Kettlebell Overhead Contralateral Lateral Lunge,Intermediate,Adductors,Sliders,Lower Body,Bodybuilding,
Slider Single Arm Kettlebell Overhead Ipsilateral Lateral Lunge,Intermediate,Adductors,Sliders,Lower Body,Bodybuilding,
Slider Single Arm Kettlebell Bottoms Up Overhead Contralateral Lateral Lunge,Advanced,Adductors,Sliders,Lower Body,Bodybuilding,
Slider Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Lateral Lunge,Advanced,Adductors,Sliders,Lower Body,Bodybuilding,
Slider Single Arm Kettlebell Low Hold Contralateral Lateral Lunge,Novice,Adductors,Sliders,Lower Body,Bodybuilding,https://youtu.be/W22ESpzYHdY?si=Vh4542ktziwY39x1
Slider Plate Overhead Lateral Lunge,Intermediate,Adductors,Sliders,Lower Body,Bodybuilding,
Slider Plate Overhead Reverse Lunge,Intermediate,Quadriceps,Sliders,Lower Body,Bodybuilding,
Barbell Reverse Grip Incline Push Up,Beginner,Chest,Barbell,Upper Body,Calisthenics,https://youtu.be/obc23NwC-3c?si=NHdYgvLBQoFpvdLm
Single Arm Dumbbell Shrug,Beginner,Trapezius,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/neQw53mbivA?si=4di6VUfOBarrAAWQ
Single Arm Dumbbell Tall Kneeling Shrug,Beginner,Trapezius,Dumbbell,Upper Body,Bodybuilding,
Single Arm Dumbbell Seated Shrug,Beginner,Trapezius,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/L15snvTU1qY?si=MYRw1-yq79vC87vm
Single Arm Kettlebell Shrug,Beginner,Trapezius ,Kettlebell,Upper Body,Bodybuilding,https://youtu.be/iJmHIt3pq5U?si=O6Skib3fQIO2I526
Double Dumbbell Hang Snatch,Intermediate,Glutes,Dumbbell,Full Body,Ballistics,https://youtu.be/cSmvSLAiJUM?si=h-chBAq-PsufLIrW
Single Arm Dumbbell Hang Snatch,Intermediate,Glutes,Dumbbell,Full Body,Ballistics,https://youtu.be/VpZwBT07DR4?si=07HCrANRza3gU5O3
Alternating Single Arm Dumbbell Hang Snatch,Intermediate,Glutes,Dumbbell,Full Body,Ballistics,https://youtu.be/BNyymHJvcJc?si=Fwbl__UOgmJahIO5
Miniband Kneeling Side Plank Clamshell,Novice,Glutes,Miniband,Lower Body,Bodybuilding,https://youtu.be/DD2ntrZLoEQ?feature=shared
Miniband Thigh Side Plank Hip Abduction,Novice,Abductors,Miniband,Lower Body,Bodybuilding,https://youtu.be/TBYwwlojtvE?si=QWpnXUtKvTpFNuv_
Stability Ball Feet Elevated Russian Twist,Novice,Abdominals,Stability Ball,Midsection,Unsorted*,https://youtu.be/gyTX0ttszBs?si=mR6_J7SkVOuRHrQN
Bodyweight Alternating Single Leg V Up,Novice,Abdominals,Bodyweight,Midsection,Unsorted*,https://youtu.be/0EIDVDbzVNo?si=B73itVIXJWWYaH0C
Battle Rope Alternating Lateral Lunge Alternating Wave,Intermediate,Quadriceps,Battle Ropes,Full Body,Unsorted*,https://youtu.be/XVLaBw4NWe8?si=tFm4FlWxePeCRyh7
Single Arm Kettlebell Tall Kneeling Shrug,Beginner,Trapezius,Kettlebell,Upper Body,Bodybuilding,
Single Arm Kettlebell Seated Shrug,Beginner,Trapezius,Kettlebell,Upper Body,Bodybuilding,https://youtu.be/LaywjdRLK3c?si=nTMNGy0BPyxW6WR3
Plate Hip Thrust,Beginner,Glutes,Weight Plate,Lower Body,Bodybuilding,https://youtu.be/k_HORfTCsi0?si=-RDu4SzCjbkXl4P5
Double Dumbbell Incline Bench Prone Shrug,Beginner,Trapezius,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/Cm4HfYm9w3A?si=iRKP7u31KGlnfQZt
Suspension Single Leg Foot Elevated Glute Bridge,Intermediate,Glutes,Suspension Trainer,Lower Body,Bodybuilding,https://youtu.be/TiPDApTAJu0?si=dVw4o9DCHCZrIteK
Tire Single Leg Foot Elevated Glute Bridge,Intermediate,Glutes,Tire,Lower Body,Bodybuilding,
Double Kettlebell Incline Bench Prone Shrug,Beginner,Trapezius,Kettlebell,Upper Body,Bodybuilding,
Suspension Sissy Squat,Novice,Quadriceps,Suspension Trainer,Lower Body,Bodybuilding,https://youtu.be/YedqbteiWoU?si=rMl_RLv88kcBcMUR
Single Arm Dumbbell Incline Bench Prone Shrug,Beginner,Trapezius,Dumbbell,Upper Body,Bodybuilding,
Single Arm Kettlebell Incline Bench Prone Shrug,Beginner,Trapezius,Kettlebell,Upper Body,Bodybuilding,
Double Dumbbell Seesaw Bench Press,Beginner,Chest,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/fv3jtm7zP1I?si=Vx6jxC1bB20dsahE
Bulgarian Bag Dead Squat Clean,Intermediate,Quadriceps,Bulgarian Bag,Full Body,Unsorted*,https://youtu.be/xeUVzgEapmQ?si=ieR0dXu6Bem56sNy
Double Dumbbell Seesaw Incline Bench Press,Beginner,Chest,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/82ZJhsIOF8w?si=uigPvHNUp-5ce1jQ
Double Dumbbell Seesaw Decline Bench Press,Beginner,Chest,Dumbbell,Upper Body,Bodybuilding,
Bodyweight Hand Assisted Pistol Squat,Novice,Quadriceps,Bodyweight,Lower Body,Calisthenics,https://youtu.be/tiA23NSUm7A?si=_N2Va66rdUdrcMpD
Double Kettlebell Suitcase Alternating Curtsy Lunge,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/XE7MrZADkr4?si=F2dW-lk_yYLoGHjE
Double Kettlebell Overhead Alternating Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Double Kettlebell Bottoms Up Front Rack Alternating Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Double Kettlebell Bottoms Up Overhead Alternating Curtsy Lunge,Advanced,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Front Rack Alternating Curtsy Lunge,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/ZM_fravcwsE?si=wlbkwmxhr5RgU_Ef
Single Arm Kettlebell Suitcase Alternating Curtsy Lunge,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Overhead Alternating Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Bottoms Up Overhead Alternating Curtsy Lunge,Advanced,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Bottoms Up Front Rack Alternating Curtsy Lunge,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Double Dumbbell Front Rack Alternating Curtsy Lunge,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/1VkEZirajQQ?si=4EJltD-xdvd_ifWT
Double Dumbbell Suitcase Alternating Curtsy Lunge,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/SQHyEoZLd1o?si=_TJYUJVzm_zR7ZxZ
Double Dumbbell Overhead Alternating Curtsy Lunge,Intermediate,Quadriceps,Dumbbell,Lower Body,Bodybuilding,
Single Arm Dumbbell Front Rack Alternating Curtsy Lunge,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/lJyMP5H-_pw?feature=shared
Single Arm Dumbbell Suitcase Alternating Curtsy Lunge,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,
Single Arm Dumbbell Overhead Alternating Curtsy Lunge,Intermediate,Quadriceps,Dumbbell,Lower Body,Bodybuilding,
Dumbbell Goblet Alternating Curtsy Lunge,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/rzwJACyQNas?si=VKxH9lJuYtpzFxQo
Kettlebell Horn Grip Alternating Curtsy Lunge,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/0xnBB7_WBpQ?si=DNO9eiIOlnVvq62-
Kettlebell Goblet Alternating Curtsy Lunge,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/dj2zCtnlZEM?si=zXmmDlSwlhudznYC
Clubbell Order Alternating Curtsy Lunge,Novice,Quadriceps,Clubbell,Lower Body,Bodybuilding,
Double Clubbell Order Alternating Curtsy Lunge,Novice,Quadriceps,Clubbell,Lower Body,Bodybuilding,
Single Arm Clubbell Order Alternating Curtsy Lunge,Novice,Quadriceps,Clubbell,Lower Body,Bodybuilding,
Macebell Order Alternating Curtsy Lunge,Novice,Quadriceps,Macebell,Lower Body,Bodybuilding,
Single Arm Macebell Order Alternating Curtsy Lunge,Novice,Quadriceps,Macebell,Lower Body,Bodybuilding,
Bodyweight Alternating Curtsy Lunge,Beginner,Quadriceps,Bodyweight,Lower Body,Calisthenics,https://youtu.be/SNtgnXpolPY?si=RQdshbRrgML5pKNu
Heavy Sandbag Bear Hug Alternating Curtsy Lunge,Intermediate,Quadriceps,Heavy Sandbag,Lower Body,Unsorted*,
Heavy Sandbag Shoulder Alternating Curtsy Lunge,Intermediate,Quadriceps,Heavy Sandbag,Lower Body,Unsorted*,
Plate Overhead Alternating Curtsy Lunge,Intermediate,Quadriceps,Weight Plate,Lower Body,Bodybuilding,
Sandbag Front Rack Alternating Curtsy Lunge,Novice,Quadriceps,Sandbag,Lower Body,Bodybuilding,
Sandbag Back Rack Alternating Curtsy Lunge,Novice,Quadriceps,Sandbag,Lower Body,Bodybuilding,https://youtu.be/L6KZyggcDjE?feature=shared
Plate Hollow Body Hold,Intermediate,Abdominals,Weight Plate,Midsection,Unsorted*,https://youtu.be/Qiu_qPGaGYM?feature=shared
Double Dumbbell Seesaw Floor Press,Beginner,Chest,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/xxUSV06CkFM?si=I4ywyVcTwGhyUwsk
Double Kettlebell Seesaw Bench Press,Beginner,Chest,Kettlebell,Upper Body,Bodybuilding,https://youtu.be/CpQIh8MxCCQ?si=UvCgYzi5mZCUTXaX
Double Kettlebell Seesaw Incline Bench Press,Beginner,Chest,Kettlebell,Upper Body,Bodybuilding,
Double Kettlebell Tuck L Sit,Intermediate,Abdominals,Kettlebell,Midsection,Calisthenics,https://youtu.be/4_7EUMcoYYY?si=s_ew72Z5lyKk18Er
Double Kettlebell Seesaw Decline Bench Press,Beginner,Chest,Kettlebell,Upper Body,Bodybuilding,
Bodyweight Hollow Body Hold with Flutter Kicks,Novice,Abdominals,Bodyweight,Midsection,Unsorted*,https://youtu.be/-UVAa92y1r4?si=CIm_rryJMtDs0TPj
Double Kettlebell Seesaw Floor Press,Beginner,Chest,Kettlebell,Upper Body,Bodybuilding,https://youtu.be/h_L7Ntxcgtk?si=g04F5mBJSHow1QbI
Double Dumbbell Seesaw Overhead Press,Beginner,Shoulders,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/N4Y5hWOwDBY?si=TDvtFSl9MGsAg0L6
Double Dumbbell Arnold Press,Beginner,Shoulders,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/sbGP9VjnjEg?si=QtatKrbr2B5FgS6F
Alternating Double Dumbbell Arnold Press,Beginner,Shoulders,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/9ZxNf7ZyXNA?si=RYR75ThTJf8rKwxi
Double Dumbbell Seated Arnold Press,Beginner,Shoulders,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/EtPb646Va9s?si=J7PWxe7OwlEdfLZW
Alternating Double Dumbbell Seated Arnold Press,Beginner,Shoulders,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/2dw6SwEJlH4?si=UCaE7pKKJDaRm0lz
Bodyweight Feet Elevated Frog Pump,Novice,Glutes,Bodyweight,Lower Body,Unsorted*,https://youtu.be/K2AvS_4hjd4?si=WeXgOnAQd6Db4L-d
Miniband Feet Elevated Frog Pump,Novice,Glutes,Miniband,Lower Body,Bodybuilding,https://youtu.be/B1brbzxGCqM?si=OdHzF3vTHn2YmADJ
Miniband Feet Elevated Glute Bridge,Novice,Glutes,Miniband,Lower Body,Bodybuilding,https://youtu.be/hKUOvDXVREw?si=RIjR5zIo0hOuYfY0
Bodyweight Reverse Plank,Novice,Abdominals,Bodyweight,Midsection,Calisthenics,https://youtu.be/_oFQ3G5iwtc?si=3F2p69DpOKAmGXoE
Wall Ball Toss,Intermediate,Quadriceps,Wall Ball,Full Body,Unsorted*,https://youtu.be/fpUD0mcFp_0?si=Ymlmi7cDC_sfB1zE
Wall Ball Feet Elevated Russian Twist Lateral Toss,Intermediate,Abdominals,Wall Ball,Midsection,Unsorted*,https://youtu.be/Bio87vFoJW8?si=NJ1qbIlIwQxlLPYE
Wall Ball Russian Twist Lateral Toss,Novice,Abdominals,Wall Ball,Midsection,Unsorted*,
Wall Ball Lateral Toss,Novice,Abdominals,Wall Ball,Midsection,Unsorted*,https://youtu.be/R87xzEuBmlY?si=tsszJ0gQHwdhFaFH
Wall Ball Sit Up Toss,Intermediate,Abdominals,Wall Ball,Midsection,Unsorted*,https://youtu.be/mSSReQ1b9NQ?si=XbGTmB14_eldcuBz
Double Kettlebell Suitcase Bulgarian Split Squat Jump,Advanced,Quadriceps,Kettlebell,Lower Body,Plyometric,
Double Dumbbell Tall Kneeling Arnold Press,Beginner,Shoulders,Dumbbell,Upper Body,Bodybuilding,https://youtu.be/Rd3pRGf7fyQ?si=E19yq3x4ySAePC_i
Barbell Zercher Bulgarian Split Squat,Advanced,Quadriceps,Barbell,Lower Body,Bodybuilding,https://youtu.be/15EmaPxPbe4?si=K_IYnXhJNu1WAP8c
Dumbbell Goblet Bulgarian Split Squat,Intermediate,Quadriceps,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/EeNk8sLr9z8?si=kN5JtBlDa5WiKxzK
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Bulgarian Split Squat,Advanced,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Kettlebell Goblet Bulgarian Split Squat,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,https://youtu.be/o_M9wYTtIBA?si=BXIV9tiqPcpzzreB
Landmine Goblet Bulgarian Split Squat,Intermediate,Quadriceps,Landmine,Lower Body,Bodybuilding,https://youtu.be/Xv7xtX-iHXw?si=Tr0jv2-w6qpFctJh
Macebell Order Bulgarian Split Squat,Intermediate,Quadriceps,Macebell,Lower Body,Bodybuilding,
Single Arm Macebell Order Contralateral Bulgarian Split Squat,Intermediate,Quadriceps,Macebell,Lower Body,Bodybuilding,
Single Arm Macebell Order Ipsilateral Bulgarian Split Squat,Intermediate,Quadriceps,Macebell,Lower Body,Bodybuilding,
Clubbell Order Bulgarian Split Squat,Intermediate,Quadriceps,Clubbell,Lower Body,Bodybuilding,
Plate Overhead Bulgarian Split Squat,Intermediate,Quadriceps,Weight Plate,Lower Body,Bodybuilding,
Tire Bulgarian Split Squat,Novice,Quadriceps,Tire,Lower Body,Bodybuilding,
Tire Bulgarian Split Squat Jump,Intermediate,Quadriceps,Tire,Lower Body,Plyometric,
Double Dumbbell Front Rack Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/WQUXh0Zk1XU?si=nWvh_443nHiOu2bH
Double Dumbbell Front Rack Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/7obV55SSiaw?si=S805NWBkc0FbMt7c
Double Dumbbell Overhead Knee Over Toe Split Squat,Intermediate,Quadriceps,Dumbbell,Lower Body,Bodybuilding,
Double Dumbbell Overhead Foot Elevated Knee Over Toe Split Squat,Intermediate,Quadriceps,Dumbbell,Lower Body,Bodybuilding,
Double Dumbbell Suitcase Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/h_S_Bb9rWCE?si=Dr_V3tDtxcRysPGX
Single Arm Dumbbell Overhead Ipsilateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Dumbbell,Lower Body,Bodybuilding,
Single Arm Dumbbell Front Rack Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,
Single Arm Dumbbell Front Rack Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,
Single Arm Dumbbell Suitcase Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,
Single Arm Dumbbell Suitcase Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,
Dumbbell Goblet Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/JlcQSTjIpk8?feature=shared
Dumbbell Goblet Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/H5KGoSK1TMw?si=wfO6lfzcy7AhIt-M
Single Arm Dumbbell Suitcase Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/FpwomyrCcCk?si=JJyauhDa3bMzRSkq
Single Arm Dumbbell Suitcase Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,
Single Arm Dumbbell Overhead Foot Elevated Contralateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Dumbbell,Lower Body,Bodybuilding,
Single Arm Dumbbell Overhead Foot Elevated Ipsilateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Dumbbell,Lower Body,Bodybuilding,
Single Arm Dumbbell Front Rack Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,
Single Arm Dumbbell Front Rack Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,
Barbell Zercher Knee Over Toe Split Squat,Advanced,Quadriceps,Barbell,Lower Body,Bodybuilding,
Barbell Zercher Foot Elevated Knee Over Toe Split Squat,Advanced,Quadriceps,Barbell,Lower Body,Bodybuilding,
Barbell Back Rack Foot Elevated Knee Over Toe Split Squat,Intermediate,Quadriceps,Barbell,Lower Body,Bodybuilding,https://youtu.be/yw2PSqN1ELo?si=2h_po3eQI5bN1T8l
Barbell Front Rack Foot Elevated Knee Over Toe Split Squat,Intermediate,Quadriceps,Barbell,Lower Body,Bodybuilding,https://youtu.be/Z-9VnaY1F7k?si=NW_jj2yOwfUGesC3
Barbell Overhead Foot Elevated Knee Over Toe Split Squat,Advanced,Quadriceps,Barbell,Lower Body,Bodybuilding,
Single Arm Barbell Overhead Foot Elevated Knee Over Toe Split Squat,Expert,Quadriceps,Barbell,Lower Body,Bodybuilding,
Bulgarian Bag Back Rack Knee Over Toe Split Squat,Novice,Quadriceps,Bulgarian Bag,Lower Body,Bodybuilding,
Bulgarian Bag Back Rack Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Bulgarian Bag,Lower Body,Bodybuilding,
Plate Overhead Knee Over Toe Split Squat,Intermediate,Quadriceps,Weight Plate,Lower Body,Bodybuilding,
Plate Overhead Foot Elevated Knee Over Toe Split Squat,Intermediate,Quadriceps,Weight Plate,Lower Body,Bodybuilding,
Double Clubbell Order Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Lower Body,Bodybuilding,
Double Clubbell Order Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Lower Body,Bodybuilding,
Clubbell Order Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Lower Body,Bodybuilding,
Clubbell Order Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Lower Body,Bodybuilding,
Single Arm Clubbell Order Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Lower Body,Bodybuilding,
Single Arm Clubbell Order Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Lower Body,Bodybuilding,
Single Arm Clubbell Order Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Lower Body,Bodybuilding,
Single Arm Clubbell Order Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Clubbell,Lower Body,Bodybuilding,
Macebell Order Knee Over Toe Split Squat,Novice,Quadriceps,Macebell,Lower Body,Bodybuilding,
Macebell Order Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Macebell,Lower Body,Bodybuilding,
Single Arm Macebell Order Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Macebell,Lower Body,Bodybuilding,
Single Arm Macebell Order Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Macebell,Lower Body,Bodybuilding,
Single Arm Macebell Order Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Macebell,Lower Body,Bodybuilding,
Single Arm Macebell Order Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Macebell,Lower Body,Bodybuilding,
Sandbag Front Rack Knee Over Toe Split Squat,Novice,Quadriceps,Sandbag,Lower Body,Bodybuilding,
Sandbag Front Rack Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Sandbag,Lower Body,Bodybuilding,
Single Arm Kettlebell Suitcase Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Suitcase Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Double Kettlebell Front Rack Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Front Rack Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Front Rack Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Front Rack Foot Elevated Ipsilateral Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Double Kettlebell Bottoms Up Front Rack Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Double Kettlebell Bottoms Up Front Rack Foot Elevated Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Bottoms Up Front Rack Foot Elevated Contralateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Bottoms Up Front Rack Foot Elevated Ipsilateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Overhead Ipsilateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Knee Over Toe Split Squat,Advanced,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Double Kettlebell Overhead Foot Elevated Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Overhead Foot Elevated Contralateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Bottoms Up Overhead Foot Elevated Contralateral Knee Over Toe Split Squat,Advanced,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Double Kettlebell Bottoms Up Overhead Foot Elevated Knee Over Toe Split Squat,Advanced,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Overhead Foot Elevated Ipsilateral Knee Over Toe Split Squat,Intermediate,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Single Arm Kettlebell Bottoms Up Overhead Foot Elevated Ipsilateral Knee Over Toe Split Squat,Advanced,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Double Kettlebell Suitcase Foot Elevated Knee Over Toe Split Squat,Novice,Quadriceps,Kettlebell,Lower Body,Bodybuilding,
Barbell Zercher Split Squat,Advanced,Quadriceps,Barbell,Lower Body,Bodybuilding,https://youtu.be/IgatQ8Mh6nM?feature=shared
Suspension Alternating Split Squat Jump,Intermediate,Quadriceps,Suspension Trainer,Lower Body,Plyometric,https://youtu.be/Vl3Gb37CyMI?si=claxpb93HZUyctUA
Single Arm Dumbbell Suitcase Contralateral Split Squat,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/eT5ol-m5gQU?si=1yRDnXPgi913NC1Q
Single Arm Dumbbell Suitcase Ipsilateral Split Squat,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/PL3rLZbBgZQ?si=NevvL1vzasNBOgVT
Double Dumbbell Front Rack Split Squat,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/Glw-jvGDuiE?si=ztDma0rLpuyWGm_E
Single Arm Dumbbell Front Rack Contralateral Split Squat,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/nogkCbiduHI?si=5gA5NaZqt_y4a8ir
Single Arm Dumbbell Front Rack Ipsilateral Split Squat,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/Fc6I5y692zE?si=WC2rmdrASF2eyb71
Double Dumbbell Overhead Split Squat,Intermediate,Quadriceps,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/c9SSkKRR_fc?si=MOjZ2orbxCB5hdiO
Single Arm Dumbbell Overhead Contralateral Split Squat,Intermediate,Quadriceps,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/jmgelOGoxE8?si=dRdbKJvwm7kJy_Fs
Single Arm Dumbbell Overhead Ipsilateral Split Squat,Intermediate,Quadriceps,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/XpcDH-_hkD8?si=ZolNMoUBWOAc0Xms
Dumbbell Goblet Split Squat,Novice,Quadriceps,Dumbbell,Lower Body,Bodybuilding,https://youtu.be/EUHaKY3aA1Q?si=H2a-9iB71twMingb
Wall Ball Feet Elevated Russian Twist,Novice,Abdominals,Wall Ball,Midsection,Unsorted*,https://youtu.be/w0CTy_eIIcM?si=RtrXOHk6gyF6NsFi
Wall Ball Russian Twist,Novice,Abdominals,Wall Ball,Midsection,Unsorted*,https://youtu.be/0DwFec0Aeog?si=bohJ8yWsahjfyyVf
Bulgarian Bag Back Rack Split Squat,Novice,Quadriceps,Bulgarian Bag,Lower Body,Bodybuilding,https://youtu.be/VI6qhpokyPI?si=vlQYMvQBOEZ4sjof
